Alumina (%Mass percent),Silica (%Mass percent),Liquid Ratio
76.35309,0.0,0.01
76.5,0.10665,0.01
78.75,0.10665,0.01
81.0,0.19951,0.01
83.25,0.23501,0.01
85.5,0.23501,0.01
87.51499,2.25,0.01
85.5,4.26499,0.01
85.35288,4.5,0.01
83.25,6.60288,0.01
83.13847,6.75,0.01
81.0,8.88847,0.01
80.91116,9.0,0.01
0.0,31.65111,0.01
0.10189,31.5,0.01
0.15941,29.25,0.01
0.15943,27.0,0.01
0.15946,24.75,0.01
0.17889,22.5,0.01
0.17884,20.25,0.01
0.17878,18.0,0.01
0.17873,15.75,0.01
0.17867,13.5,0.01
0.17862,11.25,0.01
0.17856,9.0,0.01
0.17851,6.75,0.01
0.17845,4.5,0.01
0.1784,2.25,0.01
0.38726,0.0,0.01
76.20617,0.0,0.02
76.5,0.21329,0.02
78.75,0.21329,0.02
81.0,0.39901,0.02
83.25,0.47003,0.02
85.5,0.47003,0.02
87.27997,2.25,0.02
85.5,4.02997,0.02
85.20575,4.5,0.02
83.25,6.45575,0.02
83.02693,6.75,0.02
81.0,8.77693,0.02
80.82233,9.0,0.02
0.0,31.80222,0.02
0.20377,31.5,0.02
0.31882,29.25,0.02
0.31887,27.0,0.02
0.31892,24.75,0.02
0.35778,22.5,0.02
0.35768,20.25,0.02
0.35757,18.0,0.02
0.35746,15.75,0.02
0.35735,13.5,0.02
0.35724,11.25,0.02
0.35713,9.0,0.02
0.35702,6.75,0.02
0.35691,4.5,0.02
0.3568,2.25,0.02
0.77452,0.0,0.02
76.05926,0.0,0.03
76.5,0.31994,0.03
78.75,0.31994,0.03
81.0,0.59852,0.03
83.25,0.70504,0.03
85.5,0.70504,0.03
87.04496,2.25,0.03
85.5,3.79496,0.03
85.05863,4.5,0.03
83.25,6.30863,0.03
82.9154,6.75,0.03
81.0,8.6654,0.03
80.73349,9.0,0.03
0.0,31.95332,0.03
0.30566,31.5,0.03
0.47822,29.25,0.03
0.4783,27.0,0.03
0.47839,24.75,0.03
0.53668,22.5,0.03
0.53651,20.25,0.03
0.53635,18.0,0.03
0.53618,15.75,0.03
0.53602,13.5,0.03
0.53586,11.25,0.03
0.53569,9.0,0.03
0.53553,6.75,0.03
0.53536,4.5,0.03
0.5352,2.25,0.03
1.16178,0.0,0.03
75.91234,0.0,0.04
76.5,0.42659,0.04
78.75,0.42659,0.04
81.0,0.79802,0.04
83.25,0.94006,0.04
