Alumina (%Mass percent),Silica (%Mass percent),Liquid Ratio
0.0,0.67202,0.12
0.69604,0.0,0.12
0.0,1.36429,0.14
1.41306,0.0,0.14
0.0,2.05657,0.16
2.125,0.00479,0.16
2.13029,0.0,0.16
82.69324,0.0,0.18
82.875,0.0308,0.18
0.0,2.75616,0.18
0.62922,2.125,0.18
2.125,0.67954,0.18
2.87539,0.0,0.18
80.46751,0.0,0.2
80.75,0.22134,0.2
82.875,0.76339,0.2
0.0,3.45655,0.2
1.32745,2.125,0.2
2.125,1.35428,0.2
3.6205,0.0,0.2
79.95437,0.0,0.22
80.75,0.62341,0.22
82.875,1.49598,0.22
0.0,4.15695,0.22
2.02569,2.125,0.22
2.125,2.02903,0.22
4.25,0.10175,0.22
4.36658,0.0,0.22
79.44124,0.0,0.24
80.75,1.02548,0.24
82.77055,2.125,0.24
0.0,4.84549,0.24
0.59113,4.25,0.24
2.125,2.71151,0.24
2.74439,2.125,0.24
4.25,0.75757,0.24
5.11794,0.0,0.24
78.9281,0.0,0.26
80.75,1.42755,0.26
82.03168,2.125,0.26
0.0,5.53221,0.26
1.27283,4.25,0.26
2.125,3.39527,0.26
3.46648,2.125,0.26
4.25,1.41339,0.26
5.8693,0.0,0.26
78.46684,0.0,0.28
78.625,0.74017,0.28
80.75,1.82962,0.28
81.29281,2.125,0.28
0.0,6.21894,0.28
1.95454,4.25,0.28
2.125,4.07902,0.28
4.18857,2.125,0.28
4.25,2.06921,0.28
6.375,0.20964,0.28
6.62125,0.0,0.28
78.08045,0.0,0.3
78.44341,2.125,0.3
78.625,2.27822,0.3
80.60797,4.25,0.3
0.0,7.10532,0.3
0.52392,6.375,0.3
2.125,4.76218,0.3
2.65192,4.25,0.3
4.25,2.73459,0.3
4.91992,2.125,0.3
6.375,0.85082,0.3
7.37442,0.0,0.3
77.69406,0.0,0.32
77.6679,2.125,0.32
78.625,2.93258,0.32
79.94991,4.25,0.32
0.0,8.05042,0.32
1.20191,6.375,0.32
2.125,5.44515,0.32
3.35453,4.25,0.32
4.25,3.40085,0.32
5.65213,2.125,0.32
6.375,1.492,0.32
8.12758,0.0,0.32
77.30767,0.0,0.34
76.89239,2.125,0.34
78.625,3.58693,0.34
79.29184,4.25,0.34
0.0,24.01634,0.34
0.11771,23.375,0.34
0.15541,21.25,0.34
0.15539,19.125,0.34
0.15537,17.0,0.34
0.15536,14.875,0.34
0.15534,12.75,0.34
0.15532,10.625,0.34
0.27713,8.5,0.34
1.8799,6.375,0.34
2.125,6.12811,0.34
4.05714,4.25,0.34
4.25,4.06711,0.34
6.375,2.13332,0.34
6.38441,2.125,0.34
8.5,0.31848,0.34
8.88108,0.0,0.34
76.92128,0.0,0.36
76.5,1.46239,0.36
76.26907,2.125,0.36
76.5,2.50497,0.36
78.625,4.24128,0.36
78.63377,4.25,0.36
78.625,4.31081,0.36
78.3142,6.375,0.36
0.0,25.23956,0.36
0.34223,23.375,0.36
0.45181,21.25,0.36
0.45176,19.125,0.36
0.45171,17.0,0.36
0.45166,14.875,0.36
0.45161,12.75,0.36
0.45156,10.625,0.36
0.80569,8.5,0.36
2.125,6.80786,0.36
2.56531,6.375,0.36
4.25,4.73657,0.36
4.76925,4.25,0.36
6.375,2.7859,0.36
7.12218,2.125,0.36
8.5,0.94847,0.36
9.6349,0.0,0.36
0.0,29.92326,0.36
0.12606,29.75,0.36
0.0,28.15227,0.36
76.53489,0.0,0.38
76.5,0.12113,0.38
75.80161,2.125,0.38
76.5,3.27413,0.38
77.69539,4.25,0.38
77.62716,6.375,0.38
0.0,30.19179,0.38
0.32145,29.75,0.38
0.23798,27.625,0.38
0.21176,25.5,0.38
0.56674,23.375,0.38
0.74821,21.25,0.38
0.74813,19.125,0.38
0.74805,17.0,0.38
0.74797,14.875,0.38
0.74788,12.75,0.38
0.7478,10.625,0.38
1.33425,8.5,0.38
2.125,7.48578,0.38
3.25491,6.375,0.38
4.25,5.40723,0.38
5.48497,4.25,0.38
6.375,3.43848,0.38
7.85996,2.125,0.38
8.5,1.57846,0.38
10.38873,0.0,0.38
75.87286,0.0,0.4
75.33414,2.125,0.4
76.5,4.04328,0.4
76.75322,4.25,0.4
76.94013,6.375,0.4
0.0,30.46033,0.4
0.51684,29.75,0.4
0.54035,27.625,0.4
0.48081,25.5,0.4
0.79125,23.375,0.4
1.04462,21.25,0.4
1.0445,19.125,0.4
1.04439,17.0,0.4
1.04427,14.875,0.4
1.04416,12.75,0.4
1.04404,10.625,0.4
1.86281,8.5,0.4
2.125,8.16371,0.4
3.94451,6.375,0.4
4.25,6.0779,0.4
6.20068,4.25,0.4
6.375,4.09106,0.4
8.5,2.21003,0.4
8.5982,2.125,0.4
10.625,0.42653,0.4
11.14277,0.0,0.4
75.18346,0.0,0.42
74.86668,2.125,0.42
75.50558,4.25,0.42
76.28141,6.375,0.42
75.93536,8.5,0.42
0.0,30.72886,0.42
0.71223,29.75,0.42
0.84271,27.625,0.42
0.74986,25.5,0.42
1.01576,23.375,0.42
1.34102,21.25,0.42
1.34087,19.125,0.42
1.34073,17.0,0.42
1.34058,14.875,0.42
1.34043,12.75,0.42
1.34028,10.625,0.42
2.125,8.83965,0.42
2.46924,8.5,0.42
4.25,6.74911,0.42
4.64154,6.375,0.42
6.375,4.74883,0.42
6.92276,4.25,0.42
8.5,2.85191,0.42
9.33955,2.125,0.42
10.625,1.04779,0.42
11.89691,0.0,0.42
74.49407,0.0,0.44
74.39922,2.125,0.44
74.375,2.62449,0.44
74.2769,4.25,0.44
74.375,4.4056,0.44
75.67317,6.375,0.44
75.22906,8.5,0.44
0.0,30.9974,0.44
0.90761,29.75,0.44
1.14507,27.625,0.44
1.01891,25.5,0.44
1.24027,23.375,0.44
1.63743,21.25,0.44
1.63725,19.125,0.44
1.63706,17.0,0.44
1.63688,14.875,0.44
1.6367,12.75,0.44
1.63652,10.625,0.44
2.125,9.51364,0.44
3.15234,8.5,0.44
4.25,7.42075,0.44
5.3445,6.375,0.44
6.375,5.40828,0.44
7.64689,4.25,0.44
8.5,3.49378,0.44
10.0809,2.125,0.44
10.625,1.66904,0.44
12.65106,0.0,0.44
71.89042,0.0,0.46
72.25,0.34315,0.46
